연번,호선,역명,장비,호기,승강기번호,운행구간,설치위치,설치일자,적재하중(㎏),정원(인),정격속도(m/min)
782,7(연),신중동,E/L,3,2078-783,F1-B1,외부,2012-09-05,"1,050",15,60
783,7(연),신중동,E/L,4,2061-660,F1-B1,외부,2012-07-11,"1,050",15,60
784,7(연),부천시청,E/L,1,2058-149,B1-B2,내부,2012-05-14,"1,050",15,60
785,7(연),부천시청,E/L,2,2058-150,F1-B1,외부,2012-05-14,"1,050",15,60
786,7(연),부천시청,E/L,3,2058-151,F1-B1,외부,2012-05-14,"1,050",15,60
787,7(연),상동,E/L,1,2058-152,B1-B2,내부,2012-05-21,"1,050",15,60
788,7(연),상동,E/L,2,2058-153,B1-B2,내부,2012-05-21,"1,050",15,60
789,7(연),상동,E/L,3,2058-154,F1-B1,외부,2012-05-21,"1,050",15,60
790,7(연),상동,E/L,4,2058-155,F1-B1,외부,2012-05-21,"1,050",15,60
791,7(연),삼산체육관,E/L,1,2092-874,B1-B2,내부,2012-10-23,1150,17,60
792,7(연),삼산체육관,E/L,2,2092-871,B1-B2,내부,2012-10-23,1150,17,60
793,7(연),삼산체육관,E/L,3,2092-873,F1-B1,외부,2012-10-23,1150,17,60
794,7(연),삼산체육관,E/L,4,2092-872,F1-B1,외부,2012-10-23,1150,17,60
795,7(연),굴포천,E/L,1,2092-823,B1-B2,내부,2012-10-23,1150,17,60
796,7(연),굴포천,E/L,2,2092-824,B1-B2,내부,2012-10-23,1150,17,60
797,7(연),굴포천,E/L,3,2092-822,F1-B1,외부,2012-10-23,1150,17,60
798,7(연),굴포천,E/L,4,2092-825,F1-B1,외부,2012-10-23,1150,17,60
799,7(연),부평구청,E/L,1,2120-901,B1-B3,내부,2012-10-17,1150,17,60
800,7(연),부평구청,E/L,2,2120-902,B1-B3,내부,2012-10-17,1150,17,60
801,7(연),부평구청,E/L,3,2120-903,B2-B3,내부,2012-10-17,1150,17,60
802,7(연),부평구청,E/L,4,2120-904,B2-B3,내부,2012-10-17,1150,17,60
803,7(연),부평구청,E/L,5,2120-905,B2-B2,내부,2012-10-17,1150,17,60
804,7(연),부평구청,E/L,6,2120-906,B2-B2,내부,2012-10-17,1150,17,60
805,7(연),부평구청,E/L,7,2120-907,F1-B1,외부,2012-10-17,1150,17,60
806,7(연),부평구청,E/L,8,2120-908,F1-B1,외부,2012-10-17,1150,17,60
807,7(연),부평구청,E/L,9,2120-909,F1-B4(관리동),외부,2012-10-17,1150,17,60
808,8,암사,E/L,1,0066-066,B1-B2,내부,2004-09-02,750,11,45
809,8,암사,E/L,2,0066-067,B1-B2,내부,2004-09-02,750,11,45
810,8,암사,E/L,3,0079-858,F1-B1,외부,2005-06-21,1000,15,45
811,8,천호,E/L,1,0077-988,B1-B2,내부,2009-12-23,1000,15,45
812,8,천호,E/L,2,0077-989,B1-B2,내부,2009-12-23,1000,15,45
813,8,강동구청,E/L,1,0077-745,B2-B3,내부,2004-12-29,750,11,45
814,8,강동구청,E/L,2,0077-746,B2-B3,내부,2004-12-29,750,11,45
815,8,강동구청,E/L,3,0009-742,F1-B2,외부,2006-05-19,1000,15,60
816,8,몽촌토성,E/L,1,0011-276,B2-B3,내부,2004-04-03,1000,15,45
817,8,몽촌토성,E/L,2,0011-277,B2-B3,내부,2004-04-03,750,11,45
818,8,몽촌토성,E/L,3,0011-278,B1-B2,내부,2004-04-03,750,11,45
819,8,몽촌토성,E/L,4,0075-711,F1-B1,외부,2004-11-16,1000,15,45
820,8,잠실,E/L,1,0087-497,B1-B3,내부,2012-01-19,1000,15,45
821,8,잠실,E/L,2,0087-498,B1-B3,내부,2012-01-19,1000,15,45
822,8,잠실,E/L,3,0087-499,F1-B1,외부,2012-02-10,1000,15,45
823,8,잠실,E/L,4,0089-900,B2-F1,외부,2014-05-23,1150,17,60
824,8,석촌,E/L,1,0075-712,B1-B2,내부,2004-11-17,750,11,45
825,8,석촌,E/L,2,0075-713,B1-B2,내부,2004-11-17,750,11,45
826,8,석촌,E/L,3,0045-887,F1-B1,외부,2005-11-02,1000,15,45
827,8,송파,E/L,1,0087-791,B1-B2,내부,2004-09-14,750,11,45
828,8,송파,E/L,2,0087-792,B1-B2,내부,2004-09-14,750,11,45
829,8,송파,E/L,3,0046-881,F1-B1,외부,2005-11-02,750,11,45
830,8,가락시장,E/L,1,0078-551,B1-B2,내부,2012-03-05,1000,15,45
831,8,가락시장,E/L,2,0078-553,B1-B2,내부,2011-12-08,1000,15,45
832,8,가락시장,E/L,3,0078-555,B2-B3,내부,2009-12-28,1000,15,60
833,8,가락시장,E/L,4,0078-554,B2-B3,내부,2009-12-28,1000,15,60
834,8,가락시장,E/L,5,0075-714,F1-B2,외부,2009-12-28,1000,15,60
835,8,가락시장,E/L,6,0078-552,F1-B1,외부,2009-12-28,1000,15,60
836,8,문정,E/L,1,0077-747,B1-B2,내부,2004-12-24,750,11,45
837,8,문정,E/L,2,0077-748,B1-B2,내부,2004-12-24,750,11,45
838,8,문정,E/L,3,0009-743,F1-B1,외부,2005-04-28,1000,15,45
839,8,장지,E/L,1,0077-861,B1-B2,내부,2004-12-24,750,11,45
840,8,장지,E/L,2,0077-862,B1-B2,내부,2004-12-24,750,11,45
841,8,장지,E/L,3,0009-744,F1-B1,외부,2005-05-19,1000,15,45
842,8,장지,E/L,4,0077-876,F1-B1,외부,2008-12-19,1000,15,60
843,8,복정,E/L,1,0011-754,B1-B3,내부,2002-08-01,1000,15,60
844,8,산성,E/L,1,2024-722,B2-B3,내부,2006-05-04,750,11,30
845,8,산성,E/L,2,2024-723,B2-B3,내부,2006-05-04,750,11,30
846,8,산성,E/L,3,2024-721,B1-B2,내부,2006-05-04,750,11,30
847,8,산성,E/L,4,2075-288,F1-B1,외부,2006-05-04,750,11,45
848,8,남한산성입구,E/L,1,2022-967,B2-B3,내부,2004-04-03,750,11,45
849,8,남한산성입구,E/L,2,2231-773,F1-B3,외부,2020-06-15,1000,15,45
850,8,단대오거리,E/L,1,2116-586,B1-B3,내부,2010-11-25,1000,15,45
851,8,단대오거리,E/L,2,2116-587,B1-B3,내부,2010-11-25,1000,15,45
852,8,단대오거리,E/L,3,2116-588,F1-B1,외부,2010-11-25,1000,15,45
853,8,신흥,E/L,1,2022-969,B1-B2,내부,2004-04-03,750,11,45
854,8,신흥,E/L,2,2022-970,B1-B2,내부,2004-04-03,750,11,45
855,8,수진,E/L,1,2116-589,B1-B2,내부,2004-11-17,750,11,45
856,8,수진,E/L,2,2116-590,B1-B2,내부,2004-11-17,750,11,45
857,8,수진,E/L,3,2212-625,B1-F1,외부,2019-04-16,,24,45
858,8,모란,E/L,1,2116-583,B1-B3,내부,2010-11-25,1000,15,45
859,8,모란,E/L,2,2116-584,B2-B3,내부,2010-11-26,1000,15,45
860,8,모란,E/L,3,2116-585,F1-B1,외부,2004-11-16,1000,15,45
